61,692.32
62,692.45
64,692.57
66,692.6
68,692.62
70,692.65
72,692.69
74,692.73
76,692.77
78,692.82
80,692.88
82,692.92
84,692.81
86,692.71
88,692.69
90,692.56
92,692.43
94,692.27
96,692.12
98,692.1
100,692.07
102,691.93
104,691.79
106,691.77
108,691.66
110,691.55
112,691.43
114,691.4
116,691.45
118,691.25
120,691.07
122,690.9
124,690.75
126,690.61
128,690.5
130,690.4
132,690.34
134,690.39
138,690.47
140,690.29
142,690.12
144,689.94
147,689.99
155,690.06
157,690.11
159,690.18
161,690.23
163,690.28
165,690.35
167,690.42
169,690.49
171,690.56
173,690.62
182,690.57
184,690.53
187,690.5
189,690.45
61,690.42
63,690.37
65,690.33
68,690.3
76,690.27
78,690.37
80,690.46
82,690.56
84,690.68
86,690.82
89,690.96
92,691.08
94,691.23
97,691.45
99,691.59
101,691.69
103,691.8
105,691.75
107,691.7
109,691.64
111,691.58
113,691.52
115,691.47
117,691.38
119,691.32
121,691.25
123,691.29
125,691.33
127,691.37
129,691.22
132,691.08
136,690.94
138,691.04
140,691.12
142,691.12
144,691.17
146,691.23
154,691.29
156,691.35
158,691.34
161,691.33
163,691.32
165,691.31
167,691.3
169,691.29
171,691.28
181,691.22
184,691.17
186,691.12
188,691.07
190,691.02
61,690.98
63,690.93
65,690.89
67,690.85
69,690.81
75,690.85
77,690.83
79,690.81
81,690.89
83,690.97
85,690.95
87,690.99
89,690.91
91,690.73
93,690.55
95,690.48
97,690.41
100,690.46
103,690.48
105,690.45
107,690.41
109,690.35
111,690.28
113,690.27
115,690.45
117,690.63
119,690.81
121,690.88
124,690.94
127,691.09
130,691.23
132,691.38
134,691.51
136,691.64
138,691.77
140,691.89
142,692.02
144,692.14
146,692.25
153,692.36
155,692.47
157,692.59
160,692.69
162,692.81
164,692.91
166,692.96
168,693.01
180,693.04
182,693.08
187,693.11
190,693.17
61,693.2
63,693.23
65,693.26
68,693.31
70,693.35
76,693.38
78,693.45
80,693.47
82,693.49
84,693.5
86,693.52
88,693.58
92,693.6
